,image,date,worker,height,width,task,type,region,disease,crop,area,grow,risk,points
0,V006_77_0_00_04_01_13_0_b02_20201203_0000_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 1003, 'ytl': 1167, 'xbr': 2255, 'ybr': 2575}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0001_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 600, 'ytl': 1087, 'xbr': 1628, 'ybr': 2344}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0002_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 1003, 'ytl': 1217, 'xbr': 2503, 'ybr': 3037}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0003_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 662, 'ytl': 1252, 'xbr': 2129, 'ybr': 3220}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0004_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 370, 'ytl': 884, 'xbr': 1994, 'ybr': 2879}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0005_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 739, 'ytl': 1184, 'xbr': 2176, 'ybr': 2922}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0006_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 1004, 'ytl': 1318, 'xbr': 2276, 'ybr': 3030}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0007_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 1031, 'ytl': 1271, 'xbr': 2425, 'ybr': 3014}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0008_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 811, 'ytl': 1132, 'xbr': 2351, 'ybr': 3032}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0009_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 643, 'ytl': 1392, 'xbr': 2052, 'ybr': 3124}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0010_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 741, 'ytl': 1131, 'xbr': 2122, 'ybr': 2912}]"
0,V006_77_0_00_04_01_13_0_b02_20201203_0011_S01_1.jpg,2020/12/03,,4032,3024,77,0,,0,4,1,13,0,"[{'xtl': 966, 'ytl': 1146, 'xbr': 2794, 'ybr': 3121}]"
