image,original,disease,area,grow,points
V006_77_1_08_04_03_13_1_3321w_20201120_17_a0003.jpg,V006_77_1_08_04_03_13_1_3321w_20201120_17.jpg,8,3,13,"[{'xtl': 1136, 'ytl': 556, 'xbr': 3860, 'ybr': 2856}]"
V006_77_1_07_04_02_13_2_3248b_20201118_5_a0004.jpg,V006_77_1_07_04_02_13_2_3248b_20201118_5.jpg,7,2,13,"[{'xtl': 421, 'ytl': 709, 'xbr': 873, 'ybr': 1211}]"
V006_77_1_07_04_02_13_1_4660w_20210104_125_a0000.jpg,V006_77_1_07_04_02_13_1_4660w_20210104_125.jpg,7,2,13,"[{'xtl': 1641, 'ytl': 196, 'xbr': 2917, 'ybr': 1141}]"
V006_77_1_07_04_02_13_1_4660w_20210104_124_a0007.jpg,V006_77_1_07_04_02_13_1_4660w_20210104_124.jpg,7,2,13,"[{'xtl': 572, 'ytl': 1449, 'xbr': 1635, 'ybr': 2514}]"
V006_77_1_07_04_02_13_3_1886w_20201223_70_a0002.jpg,V006_77_1_07_04_02_13_3_1886w_20201223_70.jpg,7,2,13,"[{'xtl': 838, 'ytl': 119, 'xbr': 2892, 'ybr': 1810}]"
V006_77_1_08_04_05_13_2_2653w_20201204_92_a0005.jpg,V006_77_1_08_04_05_13_2_2653w_20201204_92.jpg,8,5,13,"[{'xtl': 729, 'ytl': 798, 'xbr': 1139, 'ybr': 3721}]"
V006_77_1_08_04_03_13_2_3321w_20201203_74_a0003.jpg,V006_77_1_08_04_03_13_2_3321w_20201203_74.jpg,8,3,13,"[{'xtl': 185, 'ytl': 127, 'xbr': 1546, 'ybr': 1760}]"
V006_77_1_08_04_03_13_1_3248b_20201202_55_a0000.jpg,V006_77_1_08_04_03_13_1_3248b_20201202_55.jpg,8,3,13,"[{'xtl': 494, 'ytl': 267, 'xbr': 1922, 'ybr': 1362}]"
V006_77_1_08_04_03_12_2_3742w_20201209_135_a0000.jpg,V006_77_1_08_04_03_12_2_3742w_20201209_135.jpg,8,3,12,"[{'xtl': 127, 'ytl': 0, 'xbr': 970, 'ybr': 1590}]"
V006_77_1_07_04_02_13_1_3248b_20201219_121111_a0003.jpg,V006_77_1_07_04_02_13_1_3248b_20201219_121111.jpg,7,2,13,"[{'xtl': 1898, 'ytl': 917, 'xbr': 2730, 'ybr': 1590}]"
V006_77_1_07_04_01_13_3_3742w_20201219_132226_a0008.jpg,V006_77_1_07_04_01_13_3_3742w_20201219_132226.jpg,7,1,13,"[{'xtl': 2220, 'ytl': 1128, 'xbr': 3196, 'ybr': 1803}]"
V006_77_1_07_04_02_13_1_3108w_20201229_115_a0006.jpg,V006_77_1_07_04_02_13_1_3108w_20201229_115.jpg,7,2,13,"[{'xtl': 1392, 'ytl': 1862, 'xbr': 2372, 'ybr': 2490}]"
V006_77_1_07_04_02_13_1_3108w_20201216_57_a0000.jpg,V006_77_1_07_04_02_13_1_3108w_20201216_57.jpg,7,2,13,"[{'xtl': 1006, 'ytl': 1341, 'xbr': 1907, 'ybr': 2635}]"
