,image,date,worker,height,width,task,type,region,disease,crop,area,grow,risk,points
0,V006_77_1_07_04_01_13_1_3321w_20201229_119.jpg,2020/12/29,,3024,4032,77,1,5,7,4,1,13,1,"[{'xtl': 844, 'ytl': 412, 'xbr': 2852, 'ybr': 2388}]"
0,V006_77_1_07_04_01_13_2_1886w_20201209_30.jpg,2020/12/09,,1548,2064,77,1,5,7,4,1,13,2,"[{'xtl': 1027, 'ytl': 621, 'xbr': 1670, 'ybr': 1104}]"
0,V006_77_1_07_04_01_13_2_3108w_20201118_2.jpg,2020/11/18,,1908,4032,77,1,5,7,4,1,13,2,"[{'xtl': 851, 'ytl': 3, 'xbr': 2263, 'ybr': 1699}]"
0,V006_77_1_07_04_01_13_2_3108w_20201210_33.jpg,2020/12/10,,1908,4032,77,1,5,7,4,1,13,2,"[{'xtl': 1199, 'ytl': 272, 'xbr': 2374, 'ybr': 1402}]"
0,V006_77_1_07_04_01_13_2_3248b_20201202_21.jpg,2020/12/02,,1548,2064,77,1,5,7,4,1,13,2,"[{'xtl': 1096, 'ytl': 673, 'xbr': 1696, 'ybr': 1215}]"
0,V006_77_1_07_04_01_13_2_4660w_20201202_23.jpg,2020/12/02,,1548,2064,77,1,5,7,4,1,13,2,"[{'xtl': 1007, 'ytl': 772, 'xbr': 1562, 'ybr': 1110}]"
0,V006_77_1_07_04_01_13_3_1886w_20201202_19.jpg,2020/12/02,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1212, 'ytl': 1104, 'xbr': 2376, 'ybr': 2412}]"
0,V006_77_1_07_04_01_13_3_1886w_20201202_22.jpg,2020/12/02,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1384, 'ytl': 804, 'xbr': 2336, 'ybr': 1540}]"
0,V006_77_1_07_04_01_13_3_1886w_20201209_24.jpg,2020/12/09,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1868, 'ytl': 1172, 'xbr': 2764, 'ybr': 1840}]"
0,V006_77_1_07_04_01_13_3_1886w_20201209_25.jpg,2020/12/09,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1120, 'ytl': 1164, 'xbr': 2528, 'ybr': 2312}]"
0,V006_77_1_07_04_01_13_3_1886w_20201209_26.jpg,2020/12/09,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 2095, 'ytl': 613, 'xbr': 3041, 'ybr': 1456}]"
0,V006_77_1_07_04_01_13_3_1886w_20201209_27.jpg,2020/12/09,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1893, 'ytl': 457, 'xbr': 2870, 'ybr': 1511}]"
0,V006_77_1_07_04_01_13_3_1886w_20201209_31.jpg,2020/12/09,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1324, 'ytl': 582, 'xbr': 2398, 'ybr': 1411}]"
0,V006_77_1_07_04_01_13_3_1886w_20201214_43.jpg,2020/12/14,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 1102, 'ytl': 637, 'xbr': 1397, 'ybr': 866}]"
0,V006_77_1_07_04_01_13_3_1886w_20201216_51.jpg,2020/12/16,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1425, 'ytl': 328, 'xbr': 2979, 'ybr': 1848}]"
0,V006_77_1_07_04_01_13_3_1886w_20201222_63.jpg,2020/12/22,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 473, 'ytl': 172, 'xbr': 919, 'ybr': 623}]"
0,V006_77_1_07_04_01_13_3_2653w_20201126_15.jpg,2020/11/26,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1884, 'ytl': 603, 'xbr': 2612, 'ybr': 1385}]"
0,V006_77_1_07_04_01_13_3_2653w_20201126_16.jpg,2020/11/26,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 954, 'ytl': 558, 'xbr': 1534, 'ybr': 1081}]"
0,V006_77_1_07_04_01_13_3_2653w_20201202_18.jpg,2020/12/02,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 2099, 'ytl': 1147, 'xbr': 2936, 'ybr': 1737}]"
0,V006_77_1_07_04_01_13_3_2653w_20201202_19.jpg,2020/12/02,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 1072, 'ytl': 526, 'xbr': 1341, 'ybr': 798}]"
0,V006_77_1_07_04_01_13_3_2653w_20201202_21.jpg,2020/12/02,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 2347, 'ytl': 631, 'xbr': 3406, 'ybr': 1611}]"
0,V006_77_1_07_04_01_13_3_2653w_20201202_24.jpg,2020/12/02,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1121, 'ytl': 408, 'xbr': 2245, 'ybr': 1414}]"
0,V006_77_1_07_04_01_13_3_2653w_20201209_27.jpg,2020/12/09,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1244, 'ytl': 345, 'xbr': 2701, 'ybr': 1532}]"
0,V006_77_1_07_04_01_13_3_2653w_20201209_29.jpg,2020/12/09,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1299, 'ytl': 491, 'xbr': 2210, 'ybr': 1242}]"
0,V006_77_1_07_04_01_13_3_2653w_20201214_45.jpg,2020/12/14,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1533, 'ytl': 721, 'xbr': 2250, 'ybr': 1310}]"
0,V006_77_1_07_04_01_13_3_2653w_20201214_50.jpg,2020/12/14,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1527, 'ytl': 705, 'xbr': 2522, 'ybr': 1752}]"
0,V006_77_1_07_04_01_13_3_2653w_20201214_56.jpg,2020/12/14,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1796, 'ytl': 613, 'xbr': 2629, 'ybr': 1251}]"
0,V006_77_1_07_04_01_13_3_2653w_20201216_47.jpg,2020/12/16,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1890, 'ytl': 487, 'xbr': 2363, 'ybr': 1384}]"
0,V006_77_1_07_04_01_13_3_2653w_20201216_60.jpg,2020/12/16,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1367, 'ytl': 661, 'xbr': 2241, 'ybr': 1447}]"
0,V006_77_1_07_04_01_13_3_2653w_20210105_57.jpg,2021/01/05,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1914, 'ytl': 396, 'xbr': 2651, 'ybr': 1235}]"
0,V006_77_1_07_04_01_13_3_3108w_20201118_1.jpg,2020/11/18,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1846, 'ytl': 539, 'xbr': 2338, 'ybr': 1153}]"
0,V006_77_1_07_04_01_13_3_3108w_20201126_11.jpg,2020/11/26,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 710, 'ytl': 576, 'xbr': 1208, 'ybr': 974}]"
0,V006_77_1_07_04_01_13_3_3108w_20201126_13.jpg,2020/11/26,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1567, 'ytl': 831, 'xbr': 2547, 'ybr': 1528}]"
0,V006_77_1_07_04_01_13_3_3108w_20201202_19.jpg,2020/12/02,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 1034, 'ytl': 664, 'xbr': 1446, 'ybr': 1016}]"
0,V006_77_1_07_04_01_13_3_3108w_20201202_20.jpg,2020/12/02,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1395, 'ytl': 819, 'xbr': 1901, 'ybr': 1368}]"
0,V006_77_1_07_04_01_13_3_3108w_20201202_24.jpg,2020/12/02,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1338, 'ytl': 143, 'xbr': 2404, 'ybr': 1299}]"
0,V006_77_1_07_04_01_13_3_3108w_20201209_26.jpg,2020/12/09,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1804, 'ytl': 890, 'xbr': 2598, 'ybr': 1548}]"
0,V006_77_1_07_04_01_13_3_3108w_20201210_36.jpg,2020/12/10,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1738, 'ytl': 668, 'xbr': 2378, 'ybr': 1256}]"
0,V006_77_1_07_04_01_13_3_3108w_20201210_37.jpg,2020/12/10,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 2118, 'ytl': 703, 'xbr': 3136, 'ybr': 1705}]"
0,V006_77_1_07_04_01_13_3_3108w_20201216_55.jpg,2020/12/16,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1910, 'ytl': 737, 'xbr': 2576, 'ybr': 1337}]"
0,V006_77_1_07_04_01_13_3_3108w_20201223_46.jpg,2020/12/23,,1908,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1261, 'ytl': 696, 'xbr': 2364, 'ybr': 1505}]"
0,V006_77_1_07_04_01_13_3_3248b_20201126_13.jpg,2020/11/26,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1296, 'ytl': 880, 'xbr': 2812, 'ybr': 2708}]"
0,V006_77_1_07_04_01_13_3_3248b_20201126_15.jpg,2020/11/26,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1476, 'ytl': 1304, 'xbr': 2820, 'ybr': 2452}]"
0,V006_77_1_07_04_01_13_3_3248b_20201126_16.jpg,2020/11/26,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1860, 'ytl': 1236, 'xbr': 2932, 'ybr': 2152}]"
0,V006_77_1_07_04_01_13_3_3248b_20201202_17.jpg,2020/12/02,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 939, 'ytl': 612, 'xbr': 1306, 'ybr': 959}]"
0,V006_77_1_07_04_01_13_3_3248b_20201209_27.jpg,2020/12/09,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 1214, 'ytl': 750, 'xbr': 1661, 'ybr': 1072}]"
0,V006_77_1_07_04_01_13_3_3248b_20201209_29.jpg,2020/12/09,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 988, 'ytl': 700, 'xbr': 2372, 'ybr': 2200}]"
0,V006_77_1_07_04_01_13_3_3248b_20201209_35.jpg,2020/12/09,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 1093, 'ytl': 640, 'xbr': 1392, 'ybr': 870}]"
0,V006_77_1_07_04_01_13_3_3248b_20201214_48.jpg,2020/12/14,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 708, 'ytl': 268, 'xbr': 1106, 'ybr': 675}]"
0,V006_77_1_07_04_01_13_3_3248b_20201219_115828.jpg,2020/12/19,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1624, 'ytl': 1064, 'xbr': 2156, 'ybr': 1680}]"
0,V006_77_1_07_04_01_13_3_3248b_20201219_115837.jpg,2020/12/19,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1656, 'ytl': 1232, 'xbr': 2436, 'ybr': 1952}]"
0,V006_77_1_07_04_01_13_3_3248b_20201219_115843.jpg,2020/12/19,,3024,4032,77,1,5,8,4,1,13,3,"[{'xtl': 1256, 'ytl': 996, 'xbr': 2068, 'ybr': 1964}]"
0,V006_77_1_07_04_01_13_3_3248b_20201219_120445.jpg,2020/12/19,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1824, 'ytl': 1036, 'xbr': 3076, 'ybr': 2044}]"
0,V006_77_1_07_04_01_13_3_3248b_20201219_120641.jpg,2020/12/19,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 2104, 'ytl': 1080, 'xbr': 2608, 'ybr': 1592}]"
0,V006_77_1_07_04_01_13_3_3248b_20201219_120839.jpg,2020/12/19,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1704, 'ytl': 1152, 'xbr': 2648, 'ybr': 1844}]"
0,V006_77_1_07_04_01_13_3_3248b_20201219_121222.jpg,2020/12/19,,2448,3264,77,1,5,7,4,1,13,3,"[{'xtl': 1537, 'ytl': 869, 'xbr': 2043, 'ybr': 1349}]"
0,V006_77_1_07_04_01_13_3_3248b_20201219_132305.jpg,2020/12/19,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1512, 'ytl': 1160, 'xbr': 3044, 'ybr': 2340}]"
0,V006_77_1_07_04_01_13_3_3248b_20201219_132525.jpg,2020/12/19,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1347, 'ytl': 712, 'xbr': 3351, 'ybr': 2268}]"
0,V006_77_1_07_04_01_13_3_3248b_20201219_132554.jpg,2020/12/19,,3024,4032,77,1,5,7,4,1,13,3,"[{'xtl': 1185, 'ytl': 1281, 'xbr': 2705, 'ybr': 2438}]"
0,V006_77_1_07_04_01_13_3_3321w_20201126_12.jpg,2020/11/26,,1548,2064,77,1,5,7,4,1,13,3,"[{'xtl': 668, 'ytl': 589, 'xbr': 1168, 'ybr': 1021}]"
