,image,date,worker,height,width,task,type,region,disease,crop,area,grow,risk,points
0,V006_77_0_00_05_03_11_0_b04_20201119_0000_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 2034, 'ytl': 1153, 'xbr': 2436, 'ybr': 1667}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0001_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1513, 'ytl': 676, 'xbr': 2325, 'ybr': 1682}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0002_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1272, 'ytl': 1220, 'xbr': 2229, 'ybr': 2095}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0003_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1244, 'ytl': 1326, 'xbr': 2136, 'ybr': 1946}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0004_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1723, 'ytl': 1388, 'xbr': 2514, 'ybr': 1903}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0005_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1552, 'ytl': 1130, 'xbr': 2372, 'ybr': 1978}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0006_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1200, 'ytl': 681, 'xbr': 1816, 'ybr': 1333}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0007_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1438, 'ytl': 1142, 'xbr': 2442, 'ybr': 2296}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0008_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 2291, 'ytl': 1913, 'xbr': 3665, 'ybr': 2987}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0009_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1636, 'ytl': 976, 'xbr': 2519, 'ybr': 1977}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0010_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1269, 'ytl': 1119, 'xbr': 2692, 'ybr': 2038}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0011_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 2269, 'ytl': 1515, 'xbr': 2991, 'ybr': 2267}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0012_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1643, 'ytl': 783, 'xbr': 2504, 'ybr': 2060}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0013_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1307, 'ytl': 1102, 'xbr': 2470, 'ybr': 2065}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0014_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 480, 'ytl': 170, 'xbr': 1790, 'ybr': 980}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0015_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1449, 'ytl': 970, 'xbr': 2422, 'ybr': 2213}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0016_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1610, 'ytl': 1144, 'xbr': 2258, 'ybr': 1765}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0017_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 2598, 'ytl': 1017, 'xbr': 4025, 'ybr': 2011}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0018_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1616, 'ytl': 1172, 'xbr': 2522, 'ybr': 2041}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0019_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 879, 'ytl': 938, 'xbr': 1786, 'ybr': 1698}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0020_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1634, 'ytl': 1002, 'xbr': 2520, 'ybr': 1911}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0021_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1500, 'ytl': 1126, 'xbr': 2644, 'ybr': 2142}]"
0,V006_77_0_00_05_03_11_0_b04_20201119_0022_S01_1.jpg,2020/11/19,,3024,4032,77,0,,0,5,3,11,0,"[{'xtl': 1393, 'ytl': 1695, 'xbr': 2045, 'ybr': 2287}]"
