,image,date,worker,height,width,task,type,region,disease,crop,area,grow,risk,points
0,V006_77_1_07_05_01_13_1_2653w_20201229_109.jpg,2020/12/29,,1908,4032,77,1,5,7,5,1,13,1,"[{'xtl': 618, 'ytl': 0, 'xbr': 2555, 'ybr': 951}]"
0,V006_77_1_09_05_02_12_2_0177e_20201022_14.jpeg,2020/10/22,,3024,3024,77,1,18,9,5,2,12,2,"[{'xtl': 620, 'ytl': 1404, 'xbr': 1629, 'ybr': 3020}]"
0,V006_77_1_09_05_03_12_1_0149e_20201021_50.jpg,2020/10/21,,3024,3024,77,1,18,9,5,3,12,1,"[{'xtl': 518, 'ytl': 1056, 'xbr': 2544, 'ybr': 2488}]"
0,V006_77_1_09_05_03_12_1_0149e_20201026_7.jpeg,2020/10/26,,3024,4032,77,1,18,9,5,3,12,1,"[{'xtl': 1771, 'ytl': 1191, 'xbr': 3094, 'ybr': 1904}]"
0,V006_77_1_09_05_03_12_1_0149e_20201026_8.jpeg,2020/10/26,,3024,4032,77,1,18,9,5,3,12,1,"[{'xtl': 1253, 'ytl': 2324, 'xbr': 1914, 'ybr': 3024}]"
0,V006_77_1_09_05_03_12_1_0149e_20201026_9.jpeg,2020/10/26,,3024,4032,77,1,18,9,5,3,12,1,"[{'xtl': 1243, 'ytl': 0, 'xbr': 3582, 'ybr': 2886}]"
0,V006_77_1_09_05_03_12_1_0149e_20201026_11.jpeg,2020/10/26,,3024,4032,77,1,18,9,5,3,12,1,"[{'xtl': 1426, 'ytl': 0, 'xbr': 4032, 'ybr': 1899}]"
0,V006_77_1_09_05_03_12_1_0149e_20201026_18.jpeg,2020/10/26,,3024,4032,77,1,18,9,5,3,12,1,"[{'xtl': 2811, 'ytl': 1165, 'xbr': 4032, 'ybr': 2434}]"
0,V006_77_1_09_05_03_12_1_0149e_20201028_4.jpeg,2020/10/28,,3024,4032,77,1,18,9,5,3,12,1,"[{'xtl': 2442, 'ytl': 1529, 'xbr': 4032, 'ybr': 2800}]"
0,V006_77_1_09_05_03_12_1_0149e_20201118_5.jpeg,2020/11/18,,3024,4032,77,1,18,9,5,3,12,1,"[{'xtl': 966, 'ytl': 1080, 'xbr': 4032, 'ybr': 2592}]"
0,V006_77_1_09_05_03_12_1_0177e_20201014_38.jpg,2020/10/14,,3024,4032,77,1,18,10,5,3,12,1,"[{'xtl': 1240, 'ytl': 284, 'xbr': 3096, 'ybr': 2508}]"
0,V006_77_1_09_05_03_12_1_0177e_20201014_75.jpg,2020/10/14,,3024,4032,77,1,18,10,5,3,12,1,"[{'xtl': 1682, 'ytl': 1536, 'xbr': 1950, 'ybr': 1844}]"
0,V006_77_1_09_05_03_12_1_0177e_20201022_1.jpeg,2020/10/22,,3024,3024,77,1,18,9,5,3,12,1,"[{'xtl': 16, 'ytl': 152, 'xbr': 3020, 'ybr': 2744}]"
0,V006_77_1_09_05_03_12_1_0177e_20201022_3.jpeg,2020/10/22,,3024,3024,77,1,18,10,5,3,12,1,"[{'xtl': 1563, 'ytl': 997, 'xbr': 3023, 'ybr': 2092}]"
0,V006_77_1_09_05_03_12_1_0177e_20201023_1.jpeg,2020/10/23,,3024,3024,77,1,18,10,5,3,12,1,"[{'xtl': 604, 'ytl': 0, 'xbr': 3016, 'ybr': 2613}]"
0,V006_77_1_09_05_03_12_1_0177e_20201023_2.jpeg,2020/10/23,,3024,3024,77,1,18,10,5,3,12,1,"[{'xtl': 931, 'ytl': 57, 'xbr': 2631, 'ybr': 1784}]"
0,V006_77_1_09_05_03_12_1_0177e_20201023_29.jpeg,2020/10/23,,3024,3024,77,1,18,9,5,3,12,1,"[{'xtl': 350, 'ytl': 355, 'xbr': 2677, 'ybr': 2481}]"
0,V006_77_1_09_05_03_12_1_0177e_20201023_39.jpeg,2020/10/23,,3024,3024,77,1,18,10,5,3,12,1,"[{'xtl': 884, 'ytl': 634, 'xbr': 2821, 'ybr': 2253}]"
0,V006_77_1_09_05_03_12_1_0177e_20201023_40.jpeg,2020/10/23,,3024,3024,77,1,18,10,5,3,12,1,"[{'xtl': 389, 'ytl': 420, 'xbr': 2550, 'ybr': 2446}]"
0,V006_77_1_09_05_03_12_1_0177e_20201030_2.jpeg,2020/10/30,,3024,3024,77,1,18,9,5,3,12,1,"[{'xtl': 981, 'ytl': 626, 'xbr': 2670, 'ybr': 1893}]"
0,V006_77_1_09_05_03_12_1_0177e_20201105_17.jpeg,2020/11/05,,3456,3456,77,1,18,9,5,3,12,1,"[{'xtl': 0, 'ytl': 476, 'xbr': 3440, 'ybr': 3446}]"
0,V006_77_1_09_05_03_12_1_0177e_20201119_3.jpeg,2020/11/19,,3024,3024,77,1,18,10,5,3,12,1,"[{'xtl': 2, 'ytl': 0, 'xbr': 3022, 'ybr': 1880}]"
0,V006_77_1_09_05_03_12_1_0177e_20201119_4.jpeg,2020/11/19,,3024,3024,77,1,18,10,5,3,12,1,"[{'xtl': 0, 'ytl': 0, 'xbr': 3024, 'ybr': 1958}]"
0,V006_77_1_09_05_03_12_1_0177e_20201119_10.jpeg,2020/11/19,,3024,3024,77,1,18,10,5,3,12,1,"[{'xtl': 259, 'ytl': 5, 'xbr': 2475, 'ybr': 2045}]"
0,V006_77_1_09_05_03_12_1_0177e_20201119_11.jpeg,2020/11/19,,3024,3024,77,1,18,10,5,3,12,1,"[{'xtl': 0, 'ytl': 375, 'xbr': 2890, 'ybr': 2745}]"
